片名,总票房,导演,主演,上映时间,片长,制作国家,类型,评分(豆瓣电影)
阿拉丁,,盖·里奇,梅纳·玛索德 纳奥米·斯科特 威尔·史密斯,2019-05-24,2小时8分钟,美国,爱情 奇幻 冒险,7.5
悟空奇遇记,,殷玉麒,张震 李珊珊 宝木中阳,2019-05-01,1小时28分钟,中国,动画 喜剧,5.3
音乐家,,西尔扎提·亚合甫,胡军 袁泉 别里克·艾特占诺夫,2019-05-17,1小时44分钟,中国 哈萨克斯坦,剧情 历史,6.5
罗马,,阿方索·卡隆,玛丽娜·德·塔维拉 马科·格拉夫 雅利扎·阿巴里西奥,2019-05-10,2小时15分钟,美国 墨西哥,剧情 家庭,8.1
又是一春梨花白,,姜丽芬,乔乔 姜丽芬 郭广平,2019-05-24,1小时35分钟,中国,剧情,5.0
大破天门阵,,谢小军,斯琴高娃 陆树铭 孟耿成,2019-05-03,1小时30分钟,中国,剧情 历史,5.9
邻座的怪同学,,月川翔,菅田将晖 土屋太凤 古川雄辉,2019-05-23,1小时45分钟,日本,剧情,6.2
搞怪奇妙夜,,雷金克,郑中基 程波 范逸臣,2019-05-17,1小时36分钟,中国,喜剧 剧情,5.0
云端之上,,马基德·马基迪,Malavika Mohanan Ishaan Kapoor Shashank Shende,2019-05-24,2小时,印度,家庭 剧情,8.0
过昭关,,霍猛,杨太义 李云虎 万众,2019-05-20,1小时33分钟,中国,剧情 家庭 儿童,7.6
柔情史,,杨明明,耐安 张献民 杨明明,2019-05-17,1小时56分钟,中国,剧情 家庭,6.7
企鹅公路,,石田祐康,苍井优 北香那 钉宫理惠,2019-05-17,1小时57分钟,日本,动画,7.7
龙珠超：布罗利,,长峰达也,野泽雅子 堀川亮 中尾隆圣,2019-05-24,1小时40分钟,日本,动画,7.5
下一任：前任,,陈鸿仪,郭采洁 郑恺 李东学,2019-05-01,1小时30分钟,中国 中国台湾,爱情,5.7
五月天人生无限公司,,陈奕仁,温尚翊 石锦航 蔡升晏,2019-05-24,1小时52分钟,中国台湾,纪录 剧情 音乐,6.9
一条狗的使命2,,盖尔·曼库索,杰克·曼利 刘宪华,2019-05-17,1小时48分钟,美国,剧情 喜剧 家庭,7.1
天眼风云,,杨虎,周璞 高郡伟 许瑶璇,2019-05-24,1小时33分钟,中国,剧情,5.6
猫公主苏菲,,潘智超 郭攀,丽阳 张帆 漆凯,2019-05-01,1小时18分钟,中国,动画 冒险,5.4
港珠澳大桥,,闫东,李立宏 路嘉欣,2019-05-01,1小时10分钟,中国 中国香港,纪录,8.0
半边天,,刘雨霖 丹妮拉·托马斯,刘蓓 王珞丹 宗平,2019-05-10,1小时39分钟,中国 印度,剧情,6.5
1931刺杀宋子文之谜,,韩晶,张晓龙,2019-05-24,1小时27分钟,中国,悬疑 剧情 历史,7.4
一个母亲的复仇,,拉维·德耶瓦尔,希里黛玉 阿克夏耶·坎纳 萨佳·阿里,2019-05-10,2小时26分钟,印度,犯罪,6.9
耿二驴那些事儿,,韩志君 戴曙鸣,关小平 周笑莉 巩汉林,2019-05-24,1小时42分钟,中国,喜剧,6.7
致命梦魇,,李锦伦,孙隽圣 方雅萱 任悦,2019-05-17,1小时26分钟,中国,惊悚 悬疑 犯罪,5.0
喜盈代村,,孙宏建,黄俊鹏 徐百慧,2019-05-29,1小时56分钟,中国,传记,6.7
半镜,,王颂歌,李易祥 陈少虹 孙黎,2019-05-12,1小时36分钟,中国,悬疑,6.7
空天战队之星兽大战,,汤继业,,2019-05-18,1小时30分钟,中国,动画 冒险,5.2
尺八·一声一世,,聿馨,佐藤康夫 小凑昭尚 蔡鸿文,2019-05-31,1小时30分钟,中国,纪录 音乐,8.0
真爱不迟到,,马雍,邱昊奇 崔菁格 李志希,2019-05-20,1小时41分钟,中国,爱情 剧情,6.7
欢迎来北方II,,丹尼·伯恩,丹尼·伯恩 Line Renaud Laurence Arné,2019-05-10,1小时47分钟,法国,喜剧,7.4
一路疯癫,,崔守杰,巴多 雪村 刘惠,2019-05-10,1小时31分钟,中国,喜剧,6.7
最后的勇士,,Dmitriy Dyachenko,叶卡捷琳娜·维柯娃 康斯坦丁·拉朗尼柯 季莫费伊·特里布恩采夫,2019-05-17,1小时48分钟,俄罗斯,喜剧 动作 奇幻,5.4
午夜怪谈,,卫立洲,张驰 王子清 梁国荣,2019-05-07,1小时26分钟,中国,惊悚 悬疑 恐怖,6.7
铁拳雄心,,周玉清,刘莹莹 任青安 于海,2019-05-10,1小时34分钟,中国,动作 爱情,6.7
真爱百分百,,弗兰克·杜波斯科,弗兰克·杜波斯科 亚历山德拉·拉米 艾尔莎·泽贝斯坦,2019-05-23,1小时47分钟,法国 比利时,喜剧 爱情,7.4
黄玫瑰,,宁敬武,姜宏波 陈芊桦 张陆,2019-05-25,1小时44分钟,中国,剧情,6.7
花儿与歌声,,王蕾,魏歆惠 刘晨毅 王润泽,2019-05-31,1小时33分钟,中国,剧情 家庭,6.7
好小子，好功夫,,沈德翁,巩汉林 孙茜 林威,2019-05-31,1小时33分钟,中国,喜剧 家庭 儿童,6.7
卡拉斯：为爱而声,,Tom Volf,玛丽亚·卡拉斯 维托里奥·德·西卡 皮埃尔·保罗·帕索里尼,2019-05-31,1小时53分钟,法国,纪录,8.1
陵水谣,,江流,宋禹,2019-05-19,1小时27分钟,中国 俄罗斯,剧情,6.7
